stoties_kodas,year,month
akmenes-ams,2024,07
alytaus-ams,2024,07
anyksciu-ams,2024,07
birstono-ams,2024,07
birzu-ams,2013,04
dotnuvos-ams,2013,04
druskininku-ams,2024,07
duksto-ams,2013,04
elektrenu-ams,2024,07
jonavos-ams,2024,07
joniskio-ams,2024,07
jurbarko-ams,2024,07
kaisiadoriu-ams,2024,07
kalvarijos-ams,2024,07
kauno-ams,2013,04
kazlu-rudos-ams,2024,07
kelmes-ams,2024,07
klaipedos-ams,2013,04
kretingos-ams,2024,07
kupiskio-ams,2024,07
kybartu-ams,2013,04
laukuvos-ams,2013,04
lazdiju-ams,2013,04
marijampoles-ams,2024,07
mazeikiu-ams,2024,07
moletu-ams,2024,07
nidos-ams,2013,04
pagegiu-ams,2024,07
pakruojo-ams,2024,07
panevezio-ams,2013,04
plunges-ams,2024,07
prienu-ams,2024,07
raseiniu-ams,2013,04
rietavo-ams,2024,07
rokiskio-ams,2024,07
sakiu-ams,2024,07
salcininku-ams,2024,07
seduvos-ams,2024,07
siauliu-ams,2013,04
silutes-ams,2013,04
skuodo-ams,2024,07
svencioniu-ams,2024,07
taurages-ams,2024,07
telsiu-ams,2013,04
traku-ams,2024,07
ukmerges-ams,2013,04
utenos-ams,2013,04
varenos-ams,2013,04
ventes-ams,2024,07
vezaiciu-ams,2024,07
vilniaus-ams,2013,04
zarasu-ams,2024,07
